title,artist,highest_peak,total_weeks_on_chart,first_appearance,hit_score,is_hit
Rent Money,Future,54,1,2017-03-10,48,0
Repeat After Me (Interlude),The Weeknd,69,1,2020-04-03,33,0
Repeat It,Lil Tecca & Gunna,80,6,2021-08-20,32,0
Replay,Iyaz,2,442,2010-01-01,982,1
Replay,Zendaya,40,231,2013-09-06,522,1
Reply,A Boogie Wit da Hoodie Featuring Lil Uzi Vert,49,3,2019-11-29,57,0
Representin',Ludacris Featuring Kelly Rowland,97,10,2012-12-14,23,0
Reputation,Post Malone,54,1,2022-06-17,48,0
Rerun,Quavo Featuring Travis Scott,88,1,2018-10-26,14,0
Rescue Me,Marshmello Featuring A Day To Remember,92,1,2019-06-28,10,0
Residuals,Chris Brown,59,136,2024-08-23,313,1
Respect The Game,Meek Mill,57,1,2018-12-14,45,0
Rest Of My Life,Ludacris Featuring Usher & David Guetta,72,55,2012-11-23,138,1
Revenge,XXXTENTACION,77,3,2017-09-15,29,0
Reverse Cowgirl,T-Pain,75,1,2010-04-09,27,0
Revolu,Rauw Alejandro & Feid,88,1,2024-11-29,14,0
Rewind,Rascal Flatts,38,210,2014-01-31,482,1
Rewrite The Stars,Zac Efron & Zendaya,70,28,2018-01-12,86,0
Rhythm of Love,Plain White T's,38,231,2010-08-27,524,1
Ribbon In The Sky,Rod Wave,84,1,2020-04-17,18,0
Ric Flair Drip,Offset & Metro Boomin,13,488,2017-11-17,1063,1
Rich,Maren Morris,62,36,2018-10-05,110,0
Rich $ex,Future,100,1,2015-12-11,2,0
Rich & Sad,Post Malone,14,21,2018-05-11,128,1
Rich (Interlude),Kendrick Lamar,33,1,2022-05-27,69,0
Rich As F**k,Lil Wayne Featuring 2 Chainz,38,210,2013-04-05,482,1
Rich As Hell,YoungBoy Never Broke Again,79,3,2019-10-25,27,0
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,11,253,2023-10-20,595,1
Rich Flex,Drake & 21 Savage,2,406,2022-11-18,910,1
Rich MF,Trippie Redd Featuring Lil Durk & Polo G,56,1,2021-09-03,46,0
Rich Men North Of Richmond,Oliver Anthony Music,1,210,2023-08-25,519,1
Rich Minion,Yeat,99,1,2022-07-15,3,0
Rich N***a Shit,Young Thug With Juice WRLD,78,1,2021-10-29,24,0
Rich N*gga Sh*t,21 Savage & Metro Boomin Featuring Young Thug,26,3,2020-10-16,80,0
Rich Off Pain,"Lil Baby, Lil Durk & Rod Wave",68,1,2021-06-18,34,0
Rich Sex,Nicki Minaj Featuring Lil Wayne,56,3,2018-06-22,50,0
Rich Shit,YoungBoy Never Broke Again,83,1,2021-10-08,19,0
Rich Spirit,Kendrick Lamar,13,6,2022-05-27,99,0
Richer,Rod Wave Featuring Polo G,22,28,2021-04-09,134,1
Ride,Ciara Featuring Ludacris,42,210,2010-05-07,478,1
Ride,SoMo,76,120,2014-01-24,264,1
Ride,Twenty One Pilots,5,780,2016-04-01,1655,1
Ride For You,Meek Mill Featuring Kehlani,95,1,2021-10-15,7,0
Ride It.,Regard,62,55,2020-04-24,148,1
Ride Out,"Kid Ink, Tyga, Wale, YG & Rich Homie Quan",70,6,2015-04-24,42,0
Ridin Strikers,Future,69,1,2020-05-29,33,0
Ridin' Roads,Dustin Lynch,47,210,2019-11-15,473,1
Ridin' Solo,Jason Derulo,9,406,2010-03-19,903,1
Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot...,"The Barden Bellas, The Treblemakers & The BU Harmonics",86,15,2013-01-18,44,0
Right About You,Post Malone,88,1,2024-08-30,14,0
Right Above It,Lil Wayne Featuring Drake,6,300,2010-09-03,694,1
Right Back,Khalid Featuring A Boogie Wit da Hoodie,73,66,2019-04-19,159,1
Right By My Side,Nicki Minaj Featuring Chris Brown,51,120,2012-04-20,289,1
Right Foot Creep,YoungBoy Never Broke Again,88,1,2020-09-25,14,0
Right Hand,Drake,58,190,2015-10-02,422,1
Right Here,Justin Bieber Featuring Drake,95,1,2012-07-06,7,0
Right Now,Rihanna Featuring David Guetta,50,45,2013-07-05,140,1
Right On,Lil Baby,13,120,2022-04-22,327,1
Right There,Ariana Grande Featuring Big Sean,84,36,2013-08-23,88,0
Right There,Nicole Scherzinger Featuring 50 Cent,39,78,2011-06-03,217,1
Right Thru Me,Nicki Minaj,26,190,2010-10-15,454,1
Righteous,Juice WRLD,11,136,2020-05-08,361,1
Riiverdance,Beyonce,51,1,2024-04-12,51,0
Ring,Cardi B Featuring Kehlani,28,210,2018-04-20,492,1
Riptide,Vance Joy,30,990,2014-07-11,2050,1
Rise,Katy Perry,11,45,2016-08-05,179,1
Rise Above 1,Reeve Carney Featuring Bono & The Edge,74,1,2011-06-10,28,0
Rise!,"Tyler, The Creator Featuring Daisy World",99,1,2021-07-09,3,0
Risk,Gracie Abrams,94,1,2024-07-05,8,0
River,Eminem Featuring Ed Sheeran,11,90,2018-01-05,269,1
River,Miley Cyrus,32,10,2023-03-24,88,0
River Bank,Brad Paisley,54,171,2014-05-23,388,1
"River Deep, Mountain High",Glee Cast,41,1,2010-10-29,61,0
Road Less Traveled,Lauren Alaina,67,78,2017-02-10,189,1
Road Rage,"Eminem, Dem Jointz & Sly Pyper",59,1,2024-07-26,43,0
Roar,Katy Perry,1,630,2013-08-23,1359,1
Robbery,Juice WRLD,27,190,2019-03-01,453,1
Robin,Taylor Swift,55,1,2024-05-03,47,0
Rock,Plies,95,15,2018-02-02,35,0
Rock And A Hard Place,Bailey Zimmerman,10,1485,2022-06-24,3060,1
Rock Me,One Direction,98,1,2013-01-11,4,0
Rock N Roll,Avril Lavigne,91,1,2013-09-13,11,0
Rock N Roll,Pusha T Featuring Kanye West & Kid Cudi,78,1,2022-05-06,24,0
Rock On,Tucker Beathard,62,55,2016-09-02,148,1
Rock That Body,The Black Eyed Peas,9,171,2010-05-14,433,1
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,9,378,2016-12-23,847,1
Rocket Ship,Future,79,1,2019-02-01,23,0
Rocketeer,Far*East Movement Featuring Ryan Tedder,7,210,2010-12-17,513,1
Rockin',The Weeknd,44,3,2016-12-16,62,0
Rockin' Around The Christmas Tree,Brenda Lee,1,1929,2014-01-03,3957,1
Rockin' Around The Christmas Tree,Justin Bieber,61,10,2020-12-11,59,0
Rocking A Cardigan In Atlanta,Lil Shordie Scott,77,6,2022-03-11,35,0
Rockstar,DaBaby Featuring Roddy Ricch,1,903,2020-05-01,1905,1
Rockstar,LISA,70,1,2024-07-12,32,0
Rockstar,Post Malone Featuring 21 Savage,1,847,2017-10-06,1793,1
Rockstar 101,Rihanna Featuring Slash,64,15,2010-08-13,66,0
Rockstar Chainz,Future,97,1,2020-11-27,5,0
Rockstar Heart,Rod Wave,90,1,2022-08-26,12,0
Rockstar In His Prime,Juice WRLD,63,1,2021-12-24,39,0
Rodeo,Lil Nas X & Cardi B Or Nas,22,45,2019-07-05,168,1
Rodeo Dr,Gunna,42,3,2023-06-30,64,0
Roger That,Young Money,56,66,2010-04-09,176,1
Rolex,Ayo & Teo,20,325,2017-03-03,730,1
Roll In Peace,Kodak Black Featuring XXXTENTACION,31,333,2017-09-08,735,1
Roll Up,Wiz Khalifa,13,253,2011-02-25,593,1
Roll With It,Easton Corbin,55,190,2010-07-30,425,1
Roller Coaster,Justin Bieber,47,1,2013-12-13,55,0
Roller Coaster,Luke Bryan,43,210,2014-08-01,477,1
Rollin,Calvin Harris Featuring Future & Khalid,62,10,2017-06-02,58,0
Rolling In The Deep,Adele,1,2145,2010-12-24,4389,1
Rolling In The Deep,Glee Cast Featuring Jonathan Groff,29,3,2011-05-27,77,0
Rolling Stone,Brent Faiyaz,84,1,2022-07-22,18,0
Roman In Moscow,Nicki Minaj,64,3,2011-12-16,42,0
Roman Reloaded,Nicki Minaj Featuring Lil Wayne,70,1,2012-03-16,32,0
Roman's Revenge,Nicki Minaj Featuring Eminem,56,15,2010-11-19,74,0
Romantic Homicide,d4vd,33,210,2022-09-16,487,1
Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon",81,3,2024-01-12,25,0
Ronan,Taylor Swift,16,3,2012-09-21,90,0
Roots,Imagine Dragons,77,1,2015-09-18,25,0
Rope,Foo Fighters,68,91,2011-03-18,214,1
Rosa Pastel,Peso Pluma & Jasiel Nunez,93,1,2023-07-07,9,0
Rose Colored Lenses,Miley Cyrus,91,1,2023-03-24,11,0
Rose's Turn,Glee Cast,93,1,2010-05-28,9,0
Roses,SAINt JHN,4,595,2020-04-03,1286,1
Roses,The Chainsmokers Featuring Rozes,6,496,2015-11-06,1086,1
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,85,21,2019-01-11,57,0
Rosones,Tito Double P,85,3,2024-12-20,21,0
Rotten To The Core,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",38,21,2015-08-21,104,0
Rough Ryder,YoungBoy Never Broke Again,92,1,2020-05-08,10,0
Rough Water,Travie McCoy Featuring Jason Mraz,82,15,2013-11-08,48,0
Round & Round,Selena Gomez & The Scene,24,105,2010-07-09,286,1
Round Here,Florida Georgia Line,28,210,2013-06-28,492,1
Round Here Buzz,Eric Church,56,177,2017-10-13,398,1
Round Of Applause,Waka Flocka Flame Featuring Drake,86,36,2011-12-23,86,0
Roxanne,Arizona Zervas,4,351,2019-11-15,798,1
Roxanne,Juliet Simms,86,1,2012-04-27,16,0
Royals,Lorde,1,990,2013-07-19,2079,1
Royals,Taylor John Williams,100,1,2014-12-19,2,0
Rubbin Off The Paint,YBN Nahmir,46,146,2017-11-24,346,1
Rubicon,Peso Pluma,63,78,2023-07-07,193,1
Ruby Rosary,A$AP Rocky Featuring J. Cole,85,1,2024-09-20,17,0
Rude,MAGIC!,1,861,2014-05-09,1821,1
Rude Boy,Rihanna,1,253,2010-02-26,605,1
Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,16,406,2018-12-14,896,1
Ruff Ryders' Anthem,DMX,16,5,2021-04-23,94,0
Ruin My Life,Zara Larsson,76,28,2019-01-11,80,0
Rule The World,2 Chainz Featuring Ariana Grande,94,3,2019-03-15,12,0
Rumor,Lee Brice,25,210,2019-03-22,495,1
Rumors,Gucci Mane Featuring Lil Durk,51,105,2022-02-11,259,1
Rumors,Lizzo Featuring Cardi B,4,28,2021-08-27,152,1
Rumour Has It,Adele,16,378,2011-08-12,840,1
Rumour Has It / Someone Like You,Glee Cast,11,6,2011-12-02,101,0
Run,Joji,68,1,2020-02-21,34,0
Run,Matt Nathanson Featuring Sugarland,53,1,2011-11-25,49,0
Run (Taylor's Version) (From The Vault),Taylor Swift Featuring Ed Sheeran,47,1,2021-11-26,55,0
Run BTS,BTS,73,1,2022-06-24,29,0
Run For The Hills,Tate McRae,69,10,2023-12-22,51,0
Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,50,6,2021-04-16,62,0
Run Joey Run,Glee Cast Featuring Jonathan Groff,61,1,2010-05-21,41,0
Run Me Dry,Bryson Tiller,91,1,2017-06-16,11,0
Run Rudolph Run,Chuck Berry,10,319,2019-01-04,728,1
Run The World (Girls),Beyonce,29,91,2011-05-06,253,1
Run The World (Girls),Glee Cast,91,1,2011-10-21,11,0
Run This Town,"Jay-Z, Rihanna & Kanye West",2,66,2010-01-01,230,1
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,66,1,2017-02-17,36,0
RunItUp,"Tyler, The Creator Featuring Teezo Touchdown",68,1,2021-07-09,34,0
Runaway,Kanye West Featuring Pusha T,12,91,2010-10-22,270,1
Runaway Baby,Bruno Mars,50,1,2012-03-02,52,0
Runaways,The Killers,78,3,2012-08-03,28,0
Runnin,21 Savage & Metro Boomin,9,28,2020-10-16,147,1
Runnin Outta Time,Future & Metro Boomin,36,1,2024-04-05,66,0
Runnin' (Lose It All),Naughty Boy Featuring Beyonce & Arrow Benjamin,90,1,2015-10-09,12,0
Runnin' Outta Moonlight,Randy Houser,24,210,2013-05-24,496,1
Running Back,Wale Featuring Lil Wayne,100,1,2017-02-10,2,0
Running Out Of Time,"Tyler, The Creator",65,1,2019-05-31,37,0
Running Up That Hill (A Deal With God),Kate Bush,3,610,2022-06-10,1317,1
Running Wild,JIN,53,1,2024-11-29,49,0
Rush,Troye Sivan,77,3,2023-07-28,29,0
Russian Roulette,Lil Baby,70,1,2022-10-28,32,0
Russian Roulette,Rihanna,9,69,2010-01-01,229,1
S&M,Rihanna Featuring Britney Spears,1,351,2010-12-03,801,1
S91,Karol G,45,21,2023-07-28,97,0
SAD SHIT,DaBaby,69,1,2020-05-01,33,0
SOS,Avicii Featuring Aloe Blacc,68,10,2019-04-26,52,0
SOS,SZA,32,15,2022-12-23,98,0
STOOPID,6ix9ine Featuring Bobby Shmurda,25,45,2018-10-19,165,1
SUGAR,BrockHampton,66,45,2020-01-17,124,1
SUVs (Black On Black),Jack Harlow & Pooh Shiesty,67,3,2021-08-20,39,0
Sabor Fresa,Fuerza Regida,26,136,2023-07-07,346,1
Sacrifice,The Weeknd,11,55,2022-01-21,199,1
Sacrifices,Big Sean Featuring Migos,70,1,2017-02-24,32,0
Sacrifices,Drake Featuring 2 Chainz & Young Thug,36,6,2017-04-07,76,0
Sad,Amber Carrington,92,1,2013-06-28,10,0
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,85,1,2021-11-26,17,0
Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis,80,6,2021-11-19,32,0
Sad People,Kid Cudi,90,1,2020-12-25,12,0
Sad Songs,Lil Durk,74,1,2023-06-09,28,0
Sad!,XXXTENTACION,1,741,2018-03-16,1581,1
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",81,28,2020-03-13,75,0
Safe & Sound,Taylor Swift Featuring The Civil Wars,30,153,2012-01-06,376,1
Safe And Sound,Capital Cities,8,946,2013-05-17,1984,1
Safety Dance,Glee Cast,81,1,2010-06-04,21,0
Safety Net,Ariana Grande Featuring Ty Dolla $ign,52,1,2020-11-13,50,0
Said N Done,21 Savage & Metro Boomin,91,1,2020-10-16,11,0
Said Sum,Moneybagg Yo,17,253,2020-07-17,589,1
Sail,AWOLNATION,17,3160,2011-09-02,6403,1
Sailor Song,Gigi Perez,22,171,2024-08-30,420,1
Saint,Huncho Jack,92,1,2018-01-05,10,0
Saint-Tropez,Post Malone,18,21,2019-09-20,124,1
Sally Walker,Iggy Azalea,62,1,2019-03-29,40,0
Same Bitches,Post Malone Featuring G-Eazy & YG,20,6,2018-05-11,92,0
Same Boat,Zac Brown Band,48,153,2021-10-01,358,1
Same Damn Time,Future,92,21,2012-05-04,50,0
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,11,465,2013-02-15,1019,1
Same Old Love,Selena Gomez,5,406,2015-10-02,907,1
Same Thing,Lil Baby,78,1,2020-03-13,24,0
Same Yung N***a,Gunna Featuring Playboi Carti,97,1,2019-03-08,5,0
Sanctified,Rick Ross Featuring Kanye West & Big Sean,78,1,2014-03-21,24,0
Sanctuary,Joji,80,1,2019-06-28,22,0
Sand In My Boots,Morgan Wallen,30,861,2021-01-22,1792,1
Sandcastles,Beyonce,43,3,2016-05-13,63,0
Sandpaper,Zach Bryan Featuring Bruce Springsteen,71,3,2024-07-19,35,0
Sandra's Rose,Drake,27,3,2018-07-13,79,0
Sangria,Blake Shelton,38,210,2015-05-01,482,1
Sangria Wine,Pharrell Williams x Camila Cabello,83,1,2018-06-01,19,0
Sanguine Paradise,Lil Uzi Vert,28,136,2019-04-26,344,1
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,20,66,2021-12-24,212,1
Santa Claus Is Comin' To Town,Jackson 5,30,66,2021-01-01,202,1
Santa Tell Me,Ariana Grande,9,406,2014-12-12,903,1
"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande,76,10,2022-12-16,44,0
Sao Paulo,The Weeknd & Anitta,77,1,2024-11-15,25,0
Sarah's Place,Zach Bryan Featuring Noah Kahan,14,10,2023-10-06,106,0
Sasuke,Lil Uzi Vert,65,1,2020-05-08,37,0
Satellite,Harry Styles,21,6,2022-06-03,91,0
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,74,136,2018-03-16,298,1
Saturday,Rebecca Black & Dave Days,55,1,2013-12-27,47,0
Saturday Nights,Khalid & Kane Brown,57,78,2018-11-02,199,1
Saturn,SZA,6,630,2024-03-08,1354,1
Sauce It Up,Lil Uzi Vert,49,120,2017-09-15,291,1
Sauce!,XXXTENTACION,89,1,2019-02-08,13,0
Savage,Megan Thee Stallion Featuring Beyonce,1,406,2020-03-27,911,1
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,1,496,2020-06-26,1091,1
Save It For A Rainy Day,Kenny Chesney,54,153,2015-08-07,352,1
Save Me,Jelly Roll With Lainey Wilson,19,703,2023-06-16,1487,1
Save Me,XXXTENTACION,94,1,2017-09-15,8,0
Save Me The Trouble,Dan + Shay,38,91,2023-07-28,244,1
"Save Me, San Francisco",Train,75,66,2011-07-08,157,1
Save Your Tears,The Weeknd & Ariana Grande,1,2415,2020-04-03,4929,1
Saved,Ty Dolla $ign Featuring E-40,81,45,2016-03-11,109,0
Savior,"Kendrick Lamar, Baby Keem, & Sam Dew",23,3,2022-05-27,83,0
Savior (Interlude),Kendrick Lamar,51,1,2022-05-27,51,0
Say A',A Boogie Wit da Hoodie,75,3,2017-10-20,31,0
Say Aah,Lindsey Pavao,80,1,2012-02-24,22,0
Say Aah,Trey Songz Featuring Fabolous,9,420,2010-01-01,931,1
Say Amen (Saturday Night),Panic! At The Disco,60,6,2018-04-06,52,0
Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,5,15,2023-11-10,125,1
Say It,Flume Featuring Tove Lo,60,10,2016-10-21,60,0
Say It,Tory Lanez,23,300,2015-11-06,677,1
Say My Grace,Offset Featuring Travis Scott,48,3,2023-10-27,58,0
Say So,Doja Cat Featuring Nicki Minaj,1,741,2020-01-17,1581,1
Say Something,A Great Big World & Christina Aguilera,4,351,2013-11-22,798,1
Say Something,Justin Timberlake Featuring Chris Stapleton,9,136,2018-02-09,363,1
Say Something,Timbaland Featuring Drake,23,210,2010-01-22,497,1
Say Yes To Heaven,Lana Del Rey,54,6,2023-06-02,58,0
Say You Do,Dierks Bentley,52,171,2015-01-30,390,1
Say You Won't Let Go,James Arthur,11,1378,2016-11-11,2845,1
Scared Love,Rod Wave,96,1,2024-10-25,6,0
Scared Money,YG Featuring J. Cole & Moneybagg Yo,73,1,2022-02-18,29,0
Scared Of My Guitar,Olivia Rodrigo,90,1,2024-04-05,12,0
Scared To Be Lonely,Martin Garrix & Dua Lipa,76,105,2017-02-17,234,1
Scared To Live,The Weeknd,24,1,2020-04-03,78,0
Scared To Start,Michael Marcagi,54,276,2024-02-16,598,1
Scars To Your Beautiful,Alessia Cara,8,946,2016-09-16,1984,1
Scary Monsters And Nice Sprites,Skrillex,69,105,2012-01-06,241,1
Scholarships,Drake & Future,69,28,2015-10-09,87,0
Scoop,Lil Nas X Featuring Doja Cat,42,1,2021-10-01,60,0
Scorpio,Moneybagg Yo,66,120,2021-11-05,274,1
Scott Mescudi Vs. The World,Kid Cudi Featuring Cee-Lo,92,1,2010-11-26,10,0
Scrape It Off,Pusha T Featuring Lil Uzi Vert & Don Toliver,59,1,2022-05-06,43,0
Scream,Usher,9,231,2012-05-11,553,1
Scream & Shout,will.i.am & Britney Spears,3,300,2012-12-14,697,1
Screw Juice,Juice WRLD,46,3,2020-07-24,60,0
Screw The World Interlude,Drake,42,1,2023-10-20,60,0
Screwin,Summer Walker & Omarion,73,1,2021-11-19,29,0
Se Fue,Rauw Alejandro & Laura Pausini,82,1,2024-11-29,20,0
Search & Rescue,Drake,2,210,2023-04-21,518,1
Secreto,Anuel AA & Karol G,68,66,2019-02-01,164,1
Secrets,Mary Lambert,66,55,2014-09-19,144,1
Secrets,OneRepublic,21,561,2010-06-25,1201,1
Secrets,The Weeknd,47,3,2016-12-16,59,0
Secure The Bag,Lil Uzi Vert,72,1,2020-03-20,30,0
Seda,Bad Bunny & Bryant Myers,38,3,2023-10-27,68,0
See No More,Joe Jonas,92,1,2011-07-01,10,0
See The Real,21 Savage,66,1,2024-01-26,36,0
See Wat I'm Sayin,Moneybagg Yo,59,6,2022-06-10,53,0
See You Again,Carrie Underwood,34,210,2013-05-17,486,1
See You Again,"Tyler, The Creator Featuring Kali Uchis",44,210,2023-04-28,476,1
See You Again,Wiz Khalifa Featuring Charlie Puth,1,1378,2015-03-27,2855,1
See You Tonight,Scotty McCreery,52,171,2013-04-26,390,1
Seein' Red,Dustin Lynch,55,45,2017-01-13,135,1
Seeing Green,"Nicki Minaj, Drake & Lil Wayne",12,10,2021-05-28,108,0
Seek & Destroy,SZA,24,28,2022-12-23,132,1
Seen It All,Future & Metro Boomin,54,1,2024-04-05,48,0
Seen It All,Jeezy Featuring Jay Z,85,3,2014-09-19,21,0
Segun Quien,Maluma & Carin Leon,65,153,2023-10-06,341,1
Selah,Kanye West,19,3,2019-11-08,87,0
Self Care,Mac Miller,33,6,2018-09-21,79,0
Self Control,YoungBoy Never Broke Again,50,66,2019-09-20,182,1
Self Love,Metro Boomin & Coi Leray,54,10,2023-06-16,66,0
Self-Made,Bryson Tiller,85,1,2017-06-16,17,0
Selfish,Future Featuring Rihanna,37,55,2017-03-17,173,1
Selfish,Justin Timberlake,19,91,2024-02-09,263,1
Selfish,PnB Rock,51,190,2016-11-25,429,1
Send My Love (To Your New Lover),Adele,8,378,2015-12-11,848,1
Senorita,Shawn Mendes & Camila Cabello,1,703,2019-07-05,1505,1
Sensational,Chris Brown Featuring Davido & Lojay,71,36,2024-02-02,101,0
September,Daughtry,36,210,2010-08-20,484,1
Session 33,Summer Walker,68,1,2021-11-19,34,0
Set Fire To The Rain,Adele,1,946,2011-03-11,1991,1
"Set Me Free, Pt. 2",Jimin,30,1,2023-03-31,72,0
Set The Fire To The Third Bar,Snow Patrol Featuring Martha Wainwright,54,15,2010-01-29,76,0
Set You Free,3OH!3,84,1,2012-01-20,18,0
Setting Fires,The Chainsmokers Featuring XYLO,71,3,2016-11-25,35,0
Setting The World On Fire,Kenny Chesney Featuring P!nk,29,210,2016-08-19,491,1
Settle Down,No Doubt,34,36,2012-08-03,138,1
Settling Down,Miranda Lambert,41,210,2021-03-26,479,1
Seven,Jung Kook Featuring Latto,1,120,2023-07-28,339,1
Seven,Taylor Swift,35,3,2020-08-07,71,0
Seven Nation Army,Melanie Martinez,86,1,2012-12-07,16,0
Sex Ain't Better Than Love,Trey Songz,80,21,2012-03-23,62,0
Sex Room,Ludacris Featuring Trey Songz,69,66,2010-06-11,163,1
Sex Therapy,Robin Thicke,54,190,2010-01-01,426,1
Sex With Me,Rihanna,83,120,2016-08-05,257,1
Sexy And I Know It,Glee Cast Featuring Ricky Martin,81,1,2012-02-24,21,0
Sexy And I Know It,LMFAO,1,903,2011-09-16,1905,1
Sexy Chick,David Guetta Featuring Akon,5,630,2010-01-01,1355,1
Sexy People (The Fiat Song),Arianna Featuring Pitbull,97,1,2013-05-17,5,0
Shades Of Cool,Lana Del Rey,79,1,2014-06-13,23,0
Shadow Days,John Mayer,42,6,2012-03-23,70,0
Shake,Jesse McCartney,54,78,2010-10-08,202,1
Shake Dat Ass (Twerk Song),BossMan Dlow,54,91,2024-09-20,228,1
Shake It,"Kay Flock, Cardi B, Dougie B & Bory300",51,6,2022-04-29,61,0
Shake It Off,Taylor Swift,1,1275,2014-09-05,2649,1
Shake It Off (Taylor's Version),Taylor Swift,28,3,2023-11-10,78,0
Shake It Out,Florence + The Machine,72,210,2011-11-11,448,1
Shake It Out,Glee Cast,71,1,2012-05-18,31,0
Shake Me Down,Cage The Elephant,78,10,2011-01-28,42,0
Shake Senora,Pitbull Featuring T-Pain & Sean Paul,69,3,2011-07-08,37,0
Shake Sumn,DaBaby,65,136,2023-05-19,307,1
Shake The Room,Pop Smoke Featuring Quavo,93,1,2020-03-06,9,0
Shake Up Christmas,Train,99,1,2011-01-07,3,0
Shaky Shaky,Daddy Yankee,88,3,2017-01-13,18,0
Shallow,Lady Gaga & Bradley Cooper,1,1035,2018-10-12,2169,1
Shameless,Camila Cabello,60,6,2019-09-20,52,0
Shameless,The Weeknd,79,3,2015-09-18,27,0
Shape Of You,Ed Sheeran,1,1720,2017-01-27,3539,1
Shaq & Kobe,Rick Ross & Meek Mill,83,1,2023-10-13,19,0
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,22,120,2021-09-10,318,1
Shark In The Water,V V Brown,67,21,2010-06-18,75,0
Sharpest Tool,Sabrina Carpenter,21,28,2024-09-06,135,1
She,Harry Styles,99,1,2019-12-27,3,0
She Ain't You,Chris Brown,27,210,2011-04-29,493,1
She Bad,Cardi B & YG,57,3,2018-04-20,49,0
She Calls Me Back,Noah Kahan With Kacey Musgraves,76,3,2023-10-20,30,0
She Came To Give It To You,Usher Featuring Nicki Minaj,89,3,2014-09-12,17,0
She Doesn't Mind,Sean Paul,78,1,2012-04-13,24,0
She Don't Love You,Eric Paslay,77,78,2015-03-20,179,1
She Don't Put It Down,Joe Budden Featuring Lil Wayne & Tank,96,1,2013-03-01,6,0
She Got The Best Of Me,Luke Combs,31,276,2018-08-24,621,1
She Had Me At Heads Carolina,Cole Swindell,16,666,2022-06-10,1416,1
She Knows,J. Cole Featuring Amber Coffman & The Cults,90,15,2014-01-24,40,0
She Knows,Ne-Yo Featuring Juicy J,19,210,2014-11-28,501,1
She Knows This,Kid Cudi,49,1,2020-12-25,53,0
She Likes It,Russell Dickerson & Jake Scott,63,465,2022-04-01,967,1
She Looks So Perfect,5 Seconds Of Summer,24,210,2014-04-18,496,1
She Twerkin,Ca$h Out,98,6,2014-07-11,14,0
She Will,Lil Wayne Featuring Drake,3,231,2011-09-02,559,1
She Won't Be Lonely Long,Clay Walker,53,171,2010-04-16,389,1
She's All I Wanna Be,Tate McRae,44,210,2022-02-18,476,1
She's Got A Way With Words,Blake Shelton,61,78,2016-07-15,195,1
She's Kinda Hot,5 Seconds Of Summer,22,45,2015-08-07,168,1
She's Mine Pt. 2,J. Cole,34,1,2016-12-30,68,0
"She's Mine, Pt. 1",J. Cole,22,3,2016-12-30,84,0
She's Not There,Glee Cast,87,1,2011-02-25,15,0
She's So Mean,matchbox twenty,40,153,2012-06-29,366,1
She's Somebody's Daughter (Reimagined),Drew Baldridge,93,6,2024-08-23,19,0
She's With Me,High Valley,79,36,2018-03-09,93,0
Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",84,6,2014-08-29,28,0
Shiest Talk,Lil Baby Featuring Pooh Shiesty,58,1,2022-10-28,44,0
Shine On,Sawyer Fredericks,99,1,2015-05-22,3,0
Shinin' On Me,Jerrod Niemann,92,28,2012-09-14,64,0
Shining,DJ Khaled Featuring Beyonce & JAY Z,57,105,2017-03-03,253,1
Ships In The Night,Mat Kearney,87,1,2011-08-19,15,0
Shirt,SZA,11,276,2022-11-11,641,1
Shivers,Ed Sheeran,4,1378,2021-09-24,2852,1
Shmunk,Yeat Featuring YoungBoy Never Broke Again,83,1,2023-03-10,19,0
Shock Da World,Rod Wave,96,1,2021-04-09,6,0
Shoota,Playboi Carti Featuring Lil Uzi Vert,46,10,2018-05-25,74,0
Shootout @ My Crib,Lil Durk,53,1,2022-03-25,49,0
Shot Clock,Ella Mai,62,136,2019-02-08,310,1
Shot For Me,Drake,100,1,2011-12-02,2,0
Shotgun Rider,Tim McGraw,38,210,2014-10-17,482,1
Shots,Imagine Dragons,75,6,2015-02-13,37,0
Shots,LMFAO Featuring Lil Jon,68,168,2010-01-08,368,1
Shots,Lil Tecca,84,1,2019-09-13,18,0
Shots Fired,Megan Thee Stallion,82,1,2020-12-04,20,0
